,City,Afghan Restaurant,African Restaurant,Airport,American Restaurant,Antique Shop,Aquarium,Arcade,Arepa Restaurant,Argentinian Restaurant,Art Gallery,Art Museum,Arts & Crafts Store,Asian Restaurant,Athletics & Sports,Australian Restaurant,Auto Dealership,Auto Garage,Automotive Shop,BBQ Joint,Bagel Shop,Bakery,Bank,Bar,Basketball Court,Beach,Bed & Breakfast,Beer Bar,Beer Garden,Beer Store,Belgian Restaurant,Bike Rental / Bike Share,Bike Shop,Bike Trail,Bistro,Boat or Ferry,Bookstore,Botanical Garden,Boutique,Bowling Alley,Boxing Gym,Brasserie,Brazilian Restaurant,Breakfast Spot,Brewery,Bridge,Bubble Tea Shop,Buffet,Burger Joint,Burrito Place,Bus Line,Bus Station,Bus Stop,Business Service,Butcher,Cafeteria,Café,Campground,Canal,Canal Lock,Candy Store,Cantonese Restaurant,Caribbean Restaurant,Carpet Store,Casino,Castle,Caucasian Restaurant,Chaat Place,Champagne Bar,Cheese Shop,Chinese Restaurant,Chocolate Shop,Church,Circus School,Climbing Gym,Clothing Store,Club House,Cocktail Bar,Coffee Shop,College Arts Building,College Cafeteria,College Football Field,College Gym,College Library,College Quad,College Rec Center,Comedy Club,Comfort Food Restaurant,Comic Shop,Community Center,Community College,Concert Hall,Construction & Landscaping,Convenience Store,Convention Center,Cosmetics Shop,Coworking Space,Creperie,Cricket Ground,Cuban Restaurant,Cupcake Shop,Cycle Studio,Dance Studio,Deli / Bodega,Department Store,Dessert Shop,Dim Sum Restaurant,Diner,Discount Store,Doner Restaurant,Donut Shop,Dumpling Restaurant,Eastern European Restaurant,Electronics Store,Empanada Restaurant,English Restaurant,Ethiopian Restaurant,Event Space,Exhibit,Factory,Falafel Restaurant,Farm,Farmers Market,Fast Food Restaurant,Field,Filipino Restaurant,Film Studio,Fish & Chips Shop,Fish Market,Flea Market,Flower Shop,Food,Food & Drink Shop,Food Court,Food Stand,Food Truck,Forest,Fountain,Fraternity House,French Restaurant,Fried Chicken Joint,Fruit & Vegetable Store,Furniture / Home Store,Gaming Cafe,Garden,Garden Center,Gas Station,Gastropub,Gay Bar,General Entertainment,Gift Shop,Go Kart Track,Golf Course,Golf Driving Range,Gourmet Shop,Greek Restaurant,Grocery Store,Gym,Gym / Fitness Center,Gym Pool,Gymnastics Gym,Halal Restaurant,Harbor / Marina,Hardware Store,Health & Beauty Service,Health Food Store,Hill,Historic Site,History Museum,Hobby Shop,Hockey Arena,Hockey Field,Home Service,Hookah Bar,Hostel,Hot Dog Joint,Hotel,Hotel Bar,IT Services,Ice Cream Shop,Indian Restaurant,Indie Movie Theater,Indie Theater,Indonesian Restaurant,Indoor Play Area,Italian Restaurant,Japanese Curry Restaurant,Japanese Restaurant,Jazz Club,Jewelry Store,Jewish Restaurant,Juice Bar,Kebab Restaurant,Kitchen Supply Store,Korean Restaurant,Lake,Latin American Restaurant,Lebanese Restaurant,Library,Light Rail Station,Lighthouse,Lingerie Store,Liquor Store,Locksmith,Lounge,Malay Restaurant,Market,Massage Studio,Mediterranean Restaurant,Men's Store,Mexican Restaurant,Middle Eastern Restaurant,Mini Golf,Miscellaneous Shop,Modern European Restaurant,Molecular Gastronomy Restaurant,Monument / Landmark,Moroccan Restaurant,Movie Theater,Moving Target,Multiplex,Museum,Music Store,Music Venue,Nail Salon,National Park,Nature Preserve,Night Market,Nightclub,Noodle House,North Indian Restaurant,Observatory,Office,Okonomiyaki Restaurant,Opera House,Optical Shop,Organic Grocery,Other Great Outdoors,Outdoor Sculpture,Outdoor Supply Store,Outlet Mall,Outlet Store,Paella Restaurant,Paintball Field,Pakistani Restaurant,Palace,Paper / Office Supplies Store,Park,Parking,Pastry Shop,Pedestrian Plaza,Performing Arts Venue,Persian Restaurant,Peruvian Restaurant,Pet Café,Pet Store,Pharmacy,Pie Shop,Pier,Pizza Place,Platform,Playground,Plaza,Pool,Pool Hall,Portuguese Restaurant,Post Office,Print Shop,Pub,Public Art,Public Bathroom,Racecourse,Racetrack,Ramen Restaurant,Record Shop,Recording Studio,Recreation Center,Rental Car Location,Rental Service,Reservoir,Rest Area,Restaurant,River,Road,Rock Climbing Spot,Rock Club,Roof Deck,Rugby Pitch,Rugby Stadium,Russian Restaurant,Salon / Barbershop,Sandwich Place,Scandinavian Restaurant,Scenic Lookout,Science Museum,Scottish Restaurant,Sculpture Garden,Seafood Restaurant,Shoe Store,Shopping Mall,Shopping Plaza,Skate Park,Ski Area,Smoke Shop,Smoothie Shop,Snack Place,Soccer Field,Soccer Stadium,Social Club,South American Restaurant,Souvenir Shop,Souvlaki Shop,Spa,Spanish Restaurant,Speakeasy,Sporting Goods Shop,Sports Bar,Sports Club,Stadium,Stationery Store,Steakhouse,Storage Facility,Street Art,Street Food Gathering,Student Center,Supermarket,Sushi Restaurant,Taco Place,Taiwanese Restaurant,Tanning Salon,Tapas Restaurant,Tea Room,Tennis Court,Tennis Stadium,Thai Restaurant,Theater,Theme Park,Theme Park Ride / Attraction,Theme Restaurant,Thrift / Vintage Store,Tourist Information Center,Toy / Game Store,Track,Track Stadium,Trail,Train Station,Tram Station,Tree,Tunnel,Turkish Restaurant,Udon Restaurant,Unnamed: 0.1,Vegetarian / Vegan Restaurant,Video Game Store,Vietnamese Restaurant,Warehouse Store,Water Park,Waterfront,Whisky Bar,Wine Bar,Wine Shop,Wings Joint,Women's Store,Xinjiang Restaurant,Yoga Studio,Zoo,Zoo Exhibit
0,University of Oxford,,,,,,,,,,0.003584229390681004,,0.003584229390681004,0.003584229390681004,,,,,,,,0.025089605734767026,,0.010752688172043013,,,,0.003584229390681004,,,,,,,,,0.007168458781362006,0.003584229390681004,,0.003584229390681004,,,0.003584229390681004,,0.003584229390681004,0.003584229390681004,,,0.010752688172043013,0.003584229390681004,,0.003584229390681004,0.010752688172043013,,,,0.03942652329749104,0.007168458781362006,0.003584229390681004,0.010752688172043013,,,0.007168458781362006,,,,,,,,0.025089605734767026,,0.003584229390681004,,,,,0.014336917562724013,0.03942652329749104,,,,0.003584229390681004,,,,,,,,,0.003584229390681004,,0.003584229390681004,,,,,,,,,,0.010752688172043013,0.003584229390681004,0.003584229390681004,,,,,,,0.003584229390681004,0.003584229390681004,,0.007168458781362006,,,,,,,,0.003584229390681004,0.003584229390681004,,,,,,,,,,,,,,,0.007168458781362006,,,0.003584229390681004,0.003584229390681004,,0.003584229390681004,,0.007168458781362006,,,0.003584229390681004,,0.003584229390681004,,,0.007168458781362006,0.04659498207885305,0.007168458781362006,0.014336917562724013,,,,,,,,,,0.010752688172043013,,,,,0.003584229390681004,0.003584229390681004,,0.053763440860215055,,0.003584229390681004,0.014336917562724013,0.010752688172043013,,,,,0.007168458781362006,,0.003584229390681004,,,,0.003584229390681004,,,,,,,,,,,,,,,0.003584229390681004,,0.003584229390681004,,,0.003584229390681004,,,,,0.003584229390681004,0.003584229390681004,0.010752688172043013,,,0.003584229390681004,,,,,,,,0.003584229390681004,,,,,,0.003584229390681004,,,,0.003584229390681004,,,,,,,,0.028673835125448032,0.007168458781362006,,,,,,,,0.010752688172043013,,,0.017921146953405017,,,0.003584229390681004,0.007168458781362006,,0.007168458781362006,,,0.15053763440860216,,,,,,0.003584229390681004,,,0.003584229390681004,,,,0.025089605734767026,0.003584229390681004,,,,0.007168458781362006,,,,,0.021505376344086027,,,0.003584229390681004,,0.003584229390681004,0.003584229390681004,,0.003584229390681004,,,,,,,,0.010752688172043013,,,,,,0.003584229390681004,,0.003584229390681004,,0.003584229390681004,,0.003584229390681004,0.007168458781362006,,,,,0.028673835125448032,0.010752688172043013,,,,0.007168458781362006,,0.003584229390681004,,0.010752688172043013,,,,,,,,,,0.003584229390681004,0.003584229390681004,,,,0.007168458781362006,,0,0.003584229390681004,,,0.003584229390681004,,,,,0.003584229390681004,,,,,,
1,University of Southampton,,,0.0031847133757961785,0.006369426751592357,,,,,,,,,0.006369426751592357,0.0031847133757961785,,,0.0031847133757961785,0.0031847133757961785,,,0.0031847133757961785,,0.022292993630573247,,0.0031847133757961785,,0.006369426751592357,,,,,,,0.0031847133757961785,,0.01592356687898089,,,0.006369426751592357,,,,0.0031847133757961785,0.006369426751592357,,,,0.0031847133757961785,0.0031847133757961785,,0.0031847133757961785,0.0031847133757961785,,,,0.022292993630573247,,,,,,0.0031847133757961785,,,,,,,,0.006369426751592357,0.0031847133757961785,,,,0.01592356687898089,,,0.07006369426751592,,,,,,,,,0.0031847133757961785,,,,0.0031847133757961785,,0.006369426751592357,,,,0.0031847133757961785,0.0031847133757961785,,,,,,0.0031847133757961785,0.0031847133757961785,,,0.006369426751592357,,,,,0.0031847133757961785,,0.0031847133757961785,,0.0031847133757961785,,,,,,0.03821656050955414,,,,0.0031847133757961785,,,,,0.0031847133757961785,0.0031847133757961785,,,,,,,,,0.0031847133757961785,,,0.0031847133757961785,0.006369426751592357,0.01592356687898089,0.006369426751592357,,,0.0031847133757961785,0.012738853503184714,,,,0.1305732484076433,0.0031847133757961785,0.009554140127388536,,,,,0.009554140127388536,,,,,0.0031847133757961785,,,,,0.0031847133757961785,,,0.025477707006369428,,,0.009554140127388536,0.01910828025477707,0.0031847133757961785,,,,0.022292993630573247,,,0.0031847133757961785,,,,,,,0.0031847133757961785,,,,,,,0.0031847133757961785,0.0031847133757961785,,,,,,,0.006369426751592357,,,,,,,,0.009554140127388536,,,,,0.0031847133757961785,,,,,0.0031847133757961785,,,,,,,,,,,0.0031847133757961785,,,,,,,,0.03184713375796178,,,,0.0031847133757961785,,,,0.0031847133757961785,0.022292993630573247,,,0.028662420382165606,0.006369426751592357,,,,,0.0031847133757961785,,,0.11146496815286623,,,,,,,,,,,,,0.009554140127388536,,,,0.006369426751592357,,0.0031847133757961785,,,,0.01910828025477707,,,,,,,,0.0031847133757961785,,,,,,,0.0031847133757961785,0.009554140127388536,,,,,,,,,,,,0.0031847133757961785,,,,,,0.041401273885350316,,,,,0.006369426751592357,0.0031847133757961785,0.0031847133757961785,,0.0031847133757961785,0.009554140127388536,,,,,,,,,,0.006369426751592357,,,,0.0031847133757961785,,1,,0.0031847133757961785,,0.006369426751592357,,,,,,,,,,,
2,University of Sussex,,,,,,,,,,0.014388489208633094,,,,,,,,,,,0.02158273381294964,,0.014388489208633094,0.007194244604316547,,,0.007194244604316547,,,,,,,0.007194244604316547,,,,,,,,,,,,,,0.007194244604316547,0.007194244604316547,,,0.014388489208633094,0.007194244604316547,,,0.09352517985611512,0.007194244604316547,,,,,,,,,,,,,,,,,,0.014388489208633094,,0.007194244604316547,0.09352517985611512,,,,,,,,,,0.007194244604316547,,0.007194244604316547,,,0.007194244604316547,,,,,,,,,,,,,,,,,,,,,,0.02158273381294964,,,,,0.007194244604316547,0.007194244604316547,,,,,,0.014388489208633094,,0.007194244604316547,,,,,,0.007194244604316547,,,,,,,,,,0.014388489208633094,,0.02158273381294964,0.007194244604316547,,,,0.007194244604316547,,,,0.03597122302158273,,0.02877697841726619,,,,,,,0.007194244604316547,,,,,,,,,,,0.007194244604316547,,,,0.02158273381294964,0.014388489208633094,,,,0.007194244604316547,,,,,,,,,,,,,0.007194244604316547,,,,,,,,0.007194244604316547,,,,0.007194244604316547,,,,,,,,,,,0.007194244604316547,0.007194244604316547,0.007194244604316547,,0.007194244604316547,0.007194244604316547,,0.007194244604316547,,,,,,,,,,,,,,,,,,,0.06474820143884892,,,,0.007194244604316547,,,,0.007194244604316547,,,,0.02158273381294964,0.007194244604316547,,,,,,,,0.1079136690647482,,,0.007194244604316547,,,0.007194244604316547,,,,,,,0.007194244604316547,,,,,,,,,,0.007194244604316547,,0.007194244604316547,,,,,,,,0.007194244604316547,,,,,,0.014388489208633094,,,,,,,,0.007194244604316547,,,,,0.007194244604316547,,,,,0.007194244604316547,,,,,0.014388489208633094,,,,,,,,,,,,,0.007194244604316547,,0.014388489208633094,,,,,,2,0.007194244604316547,,,,,,,0.007194244604316547,,0.007194244604316547,,,,,
3,University of Reading,,,,,,,,,,,,0.003448275862068965,0.006896551724137931,,,0.003448275862068965,0.003448275862068965,,,,0.006896551724137931,0.003448275862068965,0.02413793103448276,,,,0.003448275862068965,,,,,,,,,0.003448275862068965,,,,,,0.003448275862068965,,,0.003448275862068965,,,0.006896551724137931,0.003448275862068965,,,0.006896551724137931,,,,0.027586206896551724,,,,,,,0.003448275862068965,0.003448275862068965,,,,,0.003448275862068965,0.010344827586206895,0.003448275862068965,,,0.003448275862068965,0.027586206896551724,,0.003448275862068965,0.04827586206896552,,0.003448275862068965,,,,,,,,,,,,,0.003448275862068965,,,,,0.003448275862068965,,,,,,0.003448275862068965,,,,0.010344827586206895,0.003448275862068965,0.003448275862068965,,,0.010344827586206895,,0.006896551724137931,,,,,,,0.003448275862068965,0.013793103448275862,,,,0.006896551724137931,,,,,0.006896551724137931,0.006896551724137931,,,,,,0.006896551724137931,,,,,0.006896551724137931,0.013793103448275862,0.003448275862068965,0.03448275862068965,,,,0.003448275862068965,0.003448275862068965,,,,0.05517241379310345,0.017241379310344827,0.02413793103448276,,,,,0.003448275862068965,0.003448275862068965,,,0.003448275862068965,,,,,,,,,0.04137931034482759,0.003448275862068965,,,0.0206896551724138,,,,0.010344827586206895,0.006896551724137931,,,,,,0.003448275862068965,0.003448275862068965,,0.003448275862068965,,0.003448275862068965,0.003448275862068965,,,,,,,,,,,,,,0.003448275862068965,,,,,,,,,0.003448275862068965,0.006896551724137931,,0.003448275862068965,,,,,0.003448275862068965,,,,0.003448275862068965,,,,,,,,,,,,,,,0.02413793103448276,,,0.003448275862068965,0.003448275862068965,,,,0.010344827586206895,0.017241379310344827,0.003448275862068965,,0.010344827586206895,,0.003448275862068965,0.003448275862068965,,,0.010344827586206895,,,0.1206896551724138,,,,,,,,,,,,,0.02413793103448276,0.003448275862068965,,,,,0.003448275862068965,,,,0.017241379310344827,,0.003448275862068965,,,,,,0.006896551724137931,,,0.003448275862068965,,,,0.003448275862068965,0.003448275862068965,,,,,0.003448275862068965,,,0.003448275862068965,,,,0.003448275862068965,0.006896551724137931,,,,,0.04137931034482759,,,,,0.003448275862068965,0.003448275862068965,,,0.003448275862068965,0.006896551724137931,,,,,,0.006896551724137931,,0.003448275862068965,0.006896551724137931,0.006896551724137931,,,,,,3,,,,0.003448275862068965,0.003448275862068965,,,0.003448275862068965,,,,,0.003448275862068965,,
4,University of Cambridge,,,,0.012605042016806723,,,,,,0.004201680672268907,,0.004201680672268907,0.004201680672268907,,,,0.008403361344537815,,,,0.012605042016806723,,0.02100840336134454,,,0.004201680672268907,0.004201680672268907,0.008403361344537815,,,,,,,,0.008403361344537815,0.004201680672268907,,0.004201680672268907,,,,0.004201680672268907,0.004201680672268907,,,0.004201680672268907,0.025210084033613446,,,0.008403361344537815,,,,,0.050420168067226885,,,,0.004201680672268907,,,,,,,,,,0.012605042016806723,,,,,0.004201680672268907,,,0.0546218487394958,,0.004201680672268907,,,,,,,,,,,,,0.004201680672268907,,0.004201680672268907,,0.004201680672268907,,,,,,0.012605042016806723,0.008403361344537815,,,,,,,0.004201680672268907,,0.004201680672268907,,0.008403361344537815,,,,,,,,0.008403361344537815,0.004201680672268907,,,0.004201680672268907,,,,,0.004201680672268907,,,,,,,0.004201680672268907,,,0.004201680672268907,,,0.008403361344537815,,0.029411764705882363,,,,,0.004201680672268907,,,,0.04621848739495799,0.01680672268907563,0.025210084033613446,0.004201680672268907,,,,0.004201680672268907,,,,,0.004201680672268907,,,,,,,,0.04201680672268908,,,0.004201680672268907,0.01680672268907563,0.004201680672268907,,,,0.008403361344537815,,,,,,,,,,,0.004201680672268907,,,,,,,,0.004201680672268907,,0.004201680672268907,,,,0.004201680672268907,,,,,,,,,,0.004201680672268907,0.008403361344537815,,,,,,,,,,,0.004201680672268907,,,,,,,,,,,,,,,0.02100840336134454,,,,0.008403361344537815,,,,,0.004201680672268907,,,0.012605042016806723,,,,0.004201680672268907,,0.012605042016806723,,,0.1638655462184874,,,,,,0.004201680672268907,,,,,,,0.03361344537815126,,,,,0.004201680672268907,,,,,0.008403361344537815,,0.004201680672268907,0.008403361344537815,,,0.004201680672268907,,0.004201680672268907,,,,,,,,0.008403361344537815,,,,,,,,,,,,,0.008403361344537815,,,,,0.025210084033613446,0.012605042016806723,,,,,,,,0.012605042016806723,0.004201680672268907,,,,,,,,,,0.004201680672268907,,0.004201680672268907,,,,4,0.004201680672268907,,,,,,,,0.008403361344537815,,,,,,
5,University of East Anglia,,,,0.005128205128205128,0.005128205128205128,,,,,,0.005128205128205128,,,,,,,,,,,,0.030769230769230767,,,,0.005128205128205128,,,0.005128205128205128,,,,0.005128205128205128,,0.015384615384615384,,,0.005128205128205128,,,,0.005128205128205128,0.005128205128205128,,,,,,,0.005128205128205128,,,,,0.04615384615384616,0.005128205128205128,,,,,,,,0.005128205128205128,,,,,0.010256410256410256,,,,,0.010256410256410256,,0.005128205128205128,0.05641025641025641,,,,,,,,,,,,,0.005128205128205128,,0.005128205128205128,,,,,,,,,,0.005128205128205128,0.010256410256410256,,,,0.010256410256410256,,,,,0.010256410256410256,,0.005128205128205128,,,,,0.005128205128205128,,,0.030769230769230767,,,,0.005128205128205128,,0.005128205128205128,,,0.005128205128205128,,,,,,,,,,0.010256410256410256,,0.005128205128205128,0.005128205128205128,0.005128205128205128,0.015384615384615384,,,,,0.010256410256410256,,,,0.04615384615384616,0.015384615384615384,0.02051282051282052,0.005128205128205128,,,,0.010256410256410256,,,,0.010256410256410256,,,,,,,,,0.035897435897435895,,,,0.015384615384615384,,,,,,,0.005128205128205128,,,,,,,,,,,,,,,,,,,0.005128205128205128,,,,,,,,,,,,0.005128205128205128,,0.005128205128205128,,,,,,,,0.005128205128205128,,,,,,,,,,,0.005128205128205128,,,,,,,,0.02564102564102564,,,,,,,,0.010256410256410256,0.010256410256410256,,,0.02051282051282052,,,,,,0.005128205128205128,0.005128205128205128,,0.18461538461538465,,,,,,,,,,,,0.005128205128205128,0.015384615384615384,,,,,,,,,,0.005128205128205128,,0.005128205128205128,,,,0.005128205128205128,,0.010256410256410256,0.005128205128205128,,,,,,0.005128205128205128,0.005128205128205128,,,,,,,,0.005128205128205128,,,,,0.010256410256410256,,,,,0.035897435897435895,,,,,,0.015384615384615384,,,0.005128205128205128,0.010256410256410256,,,,,,0.005128205128205128,,,,,,,,,,5,0.005128205128205128,,,0.005128205128205128,,,,,,,,,,,
6,University of Bristol,,,,,,,,,,0.012618296529968454,,0.003154574132492113,0.00946372239747634,0.003154574132492113,,,,,0.003154574132492113,,0.01892744479495268,,0.05993690851735016,,,,0.00946372239747634,,,,,,,0.003154574132492113,,0.006309148264984227,,,,,0.003154574132492113,,0.003154574132492113,0.003154574132492113,0.003154574132492113,,,0.0220820189274448,,,,,,,,0.06624605678233439,,,,,,0.003154574132492113,,,,,,,,,,,,0.006309148264984227,0.003154574132492113,,0.00946372239747634,0.05362776025236593,,,,,,,,,,,0.003154574132492113,,0.003154574132492113,0.003154574132492113,,,0.003154574132492113,,,0.003154574132492113,,,,,0.006309148264984227,0.003154574132492113,,,,0.003154574132492113,,0.003154574132492113,,,0.003154574132492113,,0.006309148264984227,,,,,0.012618296529968454,0.006309148264984227,,0.006309148264984227,,,,0.00946372239747634,,,,0.003154574132492113,,,,,0.003154574132492113,,,0.00946372239747634,,,,,,0.006309148264984227,,0.00946372239747634,,,,,,,,0.006309148264984227,0.03470031545741325,0.006309148264984227,0.01577287066246057,,,,,,,,,,0.003154574132492113,0.003154574132492113,,,,0.003154574132492113,,,0.006309148264984227,,,0.003154574132492113,0.0220820189274448,0.006309148264984227,,,,0.01892744479495268,,0.003154574132492113,0.003154574132492113,,,,,,0.003154574132492113,,,,,,,,,,0.00946372239747634,,0.006309148264984227,,0.003154574132492113,,0.003154574132492113,0.00946372239747634,,,,,,,0.006309148264984227,,0.003154574132492113,,0.003154574132492113,0.00946372239747634,,,,,,,,0.003154574132492113,,,,,,,,,,,,,,,,0.05678233438485805,,,,,,,,,,0.006309148264984227,,0.0220820189274448,,,0.00946372239747634,,,0.003154574132492113,,,0.15457413249211358,,,,,,0.003154574132492113,,,,,,,0.025236593059936908,,,,,,,,,,0.003154574132492113,,0.006309148264984227,,,,0.003154574132492113,,0.003154574132492113,,,,,,,0.003154574132492113,0.003154574132492113,,,,,0.003154574132492113,,,,,,,,0.00946372239747634,,0.006309148264984227,,,0.012618296529968454,0.003154574132492113,,,,0.00946372239747634,,,,0.01577287066246057,0.00946372239747634,,,,,0.003154574132492113,,,,,0.003154574132492113,,,,,,6,0.003154574132492113,,0.003154574132492113,,,0.003154574132492113,,,,,,,,0.003154574132492113,
7,University of Exeter,,,,0.007299270072992701,,,,,,,,,0.007299270072992701,,,,,,,,0.021897810218978103,,0.0291970802919708,,,,,,,,,,0.007299270072992701,,,0.021897810218978103,,,,,,,0.0145985401459854,,,,,,,0.007299270072992701,,0.007299270072992701,0.007299270072992701,,,0.0583941605839416,,,,,,,,,,,,,0.007299270072992701,,,,,0.007299270072992701,,,,0.08029197080291971,,,,,,,,,,,,,,0.007299270072992701,0.007299270072992701,,,,,0.007299270072992701,,,,,0.007299270072992701,,,,0.007299270072992701,,,0.007299270072992701,,,0.0145985401459854,,0.021897810218978103,,,,,,,,0.0145985401459854,,,,,,,0.007299270072992701,0.007299270072992701,,,,,,,,0.007299270072992701,,,0.021897810218978103,,,,,0.007299270072992701,,,,,0.007299270072992701,,0.007299270072992701,,0.021897810218978103,,0.007299270072992701,,,,,0.0145985401459854,,,,,,,,,0.007299270072992701,,,,0.043795620437956206,,,,0.007299270072992701,0.007299270072992701,,,,0.007299270072992701,,,,,,,,,,,,,,,,,,,,,,,,,0.007299270072992701,,,,,,,,,,,0.0145985401459854,,0.007299270072992701,,,,,0.007299270072992701,,,,,,,0.007299270072992701,,,,,,,,0.007299270072992701,,,,0.007299270072992701,,,,,,,,0.007299270072992701,0.007299270072992701,,,0.007299270072992701,,,0.007299270072992701,,,0.0145985401459854,0.007299270072992701,,0.15328467153284672,,0.007299270072992701,,,,,,,,,,,0.0145985401459854,,,,,,,0.007299270072992701,,,0.021897810218978103,,,,,,,,,,,,0.007299270072992701,,,,,,0.007299270072992701,,,0.007299270072992701,,,,,,,,,,,,,0.043795620437956206,,,,,,0.007299270072992701,,,,0.007299270072992701,,,,,,,,,,0.0145985401459854,0.007299270072992701,,,,,7,0.0145985401459854,,,0.007299270072992701,,,,,,,,,,,
8,University of Bath,,,,,,,,,,,,,,,,,,,0.00558659217877095,0.00558659217877095,0.00558659217877095,,0.027932960893854747,,,0.01675977653631285,,,0.00558659217877095,,,,0.00558659217877095,,,0.01675977653631285,0.00558659217877095,,,,,,,0.00558659217877095,,,,0.00558659217877095,,,0.00558659217877095,,,,0.00558659217877095,0.05586592178770949,,0.01675977653631285,,,,0.00558659217877095,,,,,,,,,,,,,,,0.01675977653631285,0.027932960893854747,,0.00558659217877095,,,,,,,,,,,,0.00558659217877095,,,,,,,,,,,0.01675977653631285,,,,,,,,,,0.00558659217877095,,0.00558659217877095,,,,,,0.00558659217877095,0.00558659217877095,0.00558659217877095,,,,0.0111731843575419,,,,,0.0111731843575419,,,,,,,0.00558659217877095,,,,,0.00558659217877095,0.0111731843575419,0.0111731843575419,0.05027932960893855,,,,,0.00558659217877095,,,0.00558659217877095,0.05027932960893855,,0.00558659217877095,0.00558659217877095,,,0.00558659217877095,0.00558659217877095,,,0.00558659217877095,0.0111731843575419,0.01675977653631285,,,,,,0.00558659217877095,,0.08379888268156424,,,,0.0111731843575419,,,,,0.00558659217877095,,0.00558659217877095,,,,0.00558659217877095,,0.00558659217877095,,,,,,,,,,,,,,,,,,,,,,,,,0.00558659217877095,,,0.0111731843575419,,,,,,,,,,,,,,,,,,,,,,,,,,0.03910614525139665,,,,,,,,,0.00558659217877095,,,0.01675977653631285,,0.00558659217877095,0.0111731843575419,,,,,,0.09497206703910614,,,,,,,,,,,,,0.0223463687150838,0.00558659217877095,,,,,,0.00558659217877095,,,0.00558659217877095,,,,,,0.00558659217877095,,0.00558659217877095,,,,,0.00558659217877095,,0.00558659217877095,,,,,,,,,,,0.00558659217877095,,,0.00558659217877095,,,,,0.0223463687150838,,,,,0.0111731843575419,0.00558659217877095,,,,0.01675977653631285,,,,,0.00558659217877095,,,,0.00558659217877095,0.01675977653631285,,,,,,8,0.0111731843575419,,,,,,,,,,,,,,
